post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
137028274.people-moves,,false,,,newsletter,only_paid,,,
135765611.people-moves-06082023,2023-08-06T10:43:04.963Z,true,2023-08-06T10:43:05.053Z,2023-08-06T10:43:05.053Z,newsletter,only_paid,People Moves: 06/08/2023,"ICYMI - Pretium brings on Mubadala Exec to head International Real Estate, and Cushman & Wakefield promotes Dominic Bouvet to Regional Managing Partner for London & South East",
135715837.people-moves-04082023,2023-08-04T14:25:18.032Z,true,2023-08-04T14:25:18.134Z,2023-08-04T14:25:18.134Z,newsletter,only_paid,People Moves: 04/08/2023,"ICYMI - OMERS appoints Michael Hill as Global Head of Infrastructure, Manulife Investment Management makes three new appointments across its Real Estate business and Lotus appoints Schwartz as IR Lead",
135540439.people-moves-29072023,2023-07-29T09:23:30.154Z,true,2023-07-29T09:23:30.252Z,2023-07-29T09:23:30.252Z,newsletter,only_paid,People Moves: 29/07/2023,"ICYMI - CBRE Investment Management appoints Catriona Buckley as Senior Director, Client Solutions; and Cushman & Wakefield promotes Kyle Youngson to Director in Charge - Gold Coast",
135402231.people-moves-24072023,2023-07-24T14:05:43.970Z,true,2023-07-24T14:05:44.147Z,2023-07-24T14:05:44.147Z,newsletter,only_paid,People Moves: 24/07/2023,"New executive appointments at BlackRock, Colliers Korea and Cushman & Wakefield (in CEE and the Gold Coast).",
134952860.research-working-paper-series-005,2023-07-15T17:12:17.219Z,false,2023-07-15T17:12:17.287Z,2023-07-15T17:12:17.287Z,thread,only_paid,Research: Working Paper Series 005,,
134652761.research-working-paper-series-004,2023-07-13T04:43:27.910Z,false,2023-07-13T04:43:28.042Z,2023-07-13T04:43:28.042Z,thread,only_paid,Research: Working Paper Series 004,,
133854324.research-working-paper-series-003,2023-07-08T07:40:34.348Z,false,2023-07-08T07:40:34.434Z,2023-07-08T07:40:34.434Z,thread,everyone,Research: Working Paper Series 003,,
132943567.research-working-paper-series-002,2023-07-04T08:22:44.797Z,false,2023-07-04T08:22:44.877Z,2023-07-04T08:22:44.877Z,thread,only_paid,Research: Working Paper Series 002,,
132777480.people-moves-03072023,2023-07-03T14:50:05.312Z,true,2023-07-03T14:50:05.404Z,2023-07-03T14:50:05.404Z,newsletter,only_paid,People Moves: 03/07/2023,ICYMI - IBR Group International spoke extensively with Passivhaus Architect and Chartered Engineer Christian Dimbleby; AXA IM Alts appoints Laurent Lavergne as Global Head of Sustainability,
128609680.research-working-paper-series-001,2023-06-15T20:54:42.296Z,false,2023-06-15T20:54:42.403Z,2023-06-15T20:54:42.403Z,thread,only_paid,Research: Working Paper Series 001,,
126442736.news-and-insights-06062023,2023-06-06T17:02:43.532Z,true,2023-06-06T17:02:43.625Z,2023-06-06T17:02:43.625Z,newsletter,only_paid,News & Insights: 06/06/2023,"ICYMI - Cushman & Wakefield appoints Mika Kania as Director, Sustainability & ESG, Asia Pacific and ALD Automotive and LeasePlan confirm the successful completion of M&A process",
125802863.people-moves-04062023,2023-06-03T21:18:21.859Z,true,2023-06-03T21:18:22.040Z,2023-06-03T21:18:22.040Z,newsletter,only_paid,People Moves: 03/06/2023,ICYMI - Stonepeak appoints Michael Leitner from BlackRock as Senior Managing Director and EQT appoints Francesco Starace as Partner within its Infrastructure Advisory Team,
